,Unnamed: 0,Reviews,actionable_value
1174,1174,"I made the reservation on OpenTable, requesting a large booth as there were 4 adults. We were put in a booth that would have fit 3 comfortably. We requested a larger booth but was told by the hostess none were available and that they were all reserved. Two larger booths were still open when we left. Disappointed we were literally crammed into a smaller booth. Owner of restaurant aware.",0
1175,1175,"One of the things about Dal Rae that has irritated me for years is the music vibe at the piano bar. Obviously, the music can be heard in the dining room. Many people have considered Dal Rae to be a throwback of the 50's and 60's steakhouses, and I wish that was the case. To me, the music at the piano bar makes the experience less romantic and appealing. The Dresden has Marty and Elaine. They make the place what it is, and I love it. Where do the Smith Brothers go to find their weekly entertainment? If there isn't any good entertainment, Sinatra and Co. would be more than welcome.",1
1176,1176,"we had a wonderful lunch at Dal Rae! it's a little expensive for lunch. soup and salad should come with your meal, but they don't. it's kind of a pricey add on for what you get. also, the valet charge for parking your own car is a little strange, i thought. all in all, you will enjoy this restaurant, i really liked the ambiance. great for a special occasion!",0
1177,1177,Just a great place to meet centrally and have a wonderful dinner!,1
1178,1178,French onion soup and pepper steak where the best!!,1
1179,1179,A very surprising find. Was seated right on time for our reservation. Menu was limited due to Valentines Day but still many quality selections available. Signature dish was the pepper steak which was incredible! Great service even w/a packed house. Hope to come back & try other items from the menu. Overall it was a pleasant experience. Valet service ($3.50) was quick & friendly.,0
1180,1180,The food was delicious and the signature dish to try is the peppered filet mignon! Warning:it's pretty spicy with some kick due to the pepper but nonetheless delicious:) The ambiance is nice/romantic for a group or a dinner for two. In the bar/lounge there is a pianist/singer who plays very mellow music setting the perfect dining atmosphere (and she plays requests..Frank Sinatra was her specialty). The only complaint that I had was the mood of the staff. I understand it was busy but can somebody smile for me please?!?! I was really disappointed from start to finish that we were never once greeted with a friendly smile. It just would have been nice to see ONE person smile because it makes a difference in the service and experience.,0
1181,1181,"The pepper crusted steak melted in my mouth. This was a jolt of supernatural proportions, I had no idea my tongue was having a party with my taste buds. The waitress was friendly and enjoyable. The atmosphere was classic and cozy. I enjoyed their Argentinian red wine, such a delight! This restaurant is a must on your buccket list. Remember, you only live once......live a little:-)",0
1182,1182,Consistent good-quality steaks and food.,1
1183,1183,Simply delicious. Was some of the best food I've ever tasted. The bread pudding was spectacular. I really liked the pepper steak method of preparation. Great baked potatoes.....not microwaved. Just overall a really incredible dining experience. Seasoned wait staff are at the top of their game. I'd go again in a heartbeat. Cathy,0
1184,1184,"I am going to be honest at first I hesitated to go inside...a lot had to do with the restaurant's location. However, once inside the restaurant the service, food and atmosphere was great. I enjoyed my time while being at the restaurant. The outside was nothing compare to the inside. I will definitely return again.",0
1185,1185,"Great food, friendly staff, and awesome ambiance.",1
1186,1186,Always a great place for food and drinks. A real throw back to the old steakhouses. As soon as you walk into the bar you want to order a dry martini. The sea bass is the BEST!,0
1187,1187,"You won't find fusion food here, but solid preparations of classics like prime rib, herbed lamb chops, and a variety of seafood. Bleu cheese salad dressing is rich and creamy, and salads are served on chilled plates. Get tomatoes (sliced hot house ones with minimal flavor, it's true) instead of potatoes to cut the calorie load of these hefty portions. The gold brick sundae features two scoops of creamy ice cream inside a carmelized lace cookie, topped with chocolate sauce that freezes into a hard topping. Yum. Service is usually very good (though I had the worst waitress ever anywhere a few weeks ago).",0
1188,1188,"I went for my third time on Christmas Eve with family and we had an absolute blast. The restaurant is so much fun (it is wonderful at Christmas time) and the food is really, really good. Best Caesar in town, frankly. And the Oysters Rockefeller are incredible. I had a wonderful Filet, and one person had the most decadent sea bass imaginable. And the drinks are strong and reasonable!",0
1189,1189,Classic restaurant - good food and service. 1960's menu of good dining American classic food.,1
1190,1190,very dissapointed in the cesar salad.,1
1191,1191,"outstanding customer service and great food :)
we would definitely dine there again!",0
1192,1192,"Overall, Dal Rae was excellent and it was like stepping back into time. The popularity of the restaurant is amazing considering the longevity of the restaurant and its location which is not exactly easy to get to. Our server, Kitty, was charming and is obviously old school.
They know how to prepare steak and will cook it exactly as you requested it. This is a solid steakhouse and I would recommend it to anyone looking for a classic steakhouse rather than a contemporary steakhouse.",0
1193,1193,"The evening got started on the wrong foot. It took 20 mins before anyone asked us if we wanted water or anything to drink. All of the other tables had their drink and a bread basket and we had nothing. I asked a couple of waitresses for help, but they just said, ""let me find out what's going on"" and did not come back. Right before we were about to leave, our waitress finally appears and apologozes for the confusion. She was not aware that we were her table. She made up for it the rest of the evening. The food was excellent. I recommend the peppered steak and the duck. They're escargo is the best I've had in So. Cal.",0
1194,1194,Love the ambiance - old world (boys' club) feel with live jazz piano. Very slow service despite there not being very many customers.,0
1195,1195,Great food--super mashed potatoes. Nice maitre d' and waitress. Dining room is a little loud.,1
1196,1196,"As one has come to expect, food was very good. Service was a tab below expectations, but it may have been due to the fact that the restaurant became busy during its ""rush"" hour.",1
1197,1197,"This is a throwback to mid century dining- three martini lunches and waiters who weren't actors. Windows are covered so you lose track of time. Where else can you find lobster thermador?? The crudite plates are served on ice and the drinks are stiff. This is total Mad Men!! Can't say that the front desk is exactly warm and inviting, but the wait staff makes up for the scary greeting..",1
1198,1198,"The food was good, but a little heavy on butter and pricey. Gran marnier souffle for dessert to die for! Meat cooked perfectly. Excellent, friendly service. Will defintely go back for special occasions.",0
1199,1199,This is a great place for special occasions (mine was a treat for my girlfriends 65th Birthday). Keep in mind this restaurant is VERY expensive: a french dip sandwich was $19.95 at lunch. I can only imagine the dinenr prices! That does not count in valet parking.,0
1200,1200,"We have been patronizing Dal Rae's for over 25 years and have found the food (menu selection and preparation) and service wonderful (with one exception when they were admittedly having a problem in the kitchen). Unfortunately, the noise level affects the ambience. But Dal Rae's is always the standard against which we judge all restaurants except those that serve ethnic foods.",1
1201,1201,"This was my first time eating at Del Rae and I was completely satisfied. Our waitress was outstanding and the overall service was fantastic. I would definitely recommend the Pepper steak and the blackened swordfish. In regards to side dishes, try the mac n' cheese and the garlic mashed potatoes.",0
1202,1202,"I have been to the Dal Rae many times and the food is excellent. Unfortunately, our server was new and didn't quite get the order correct. The manager was aware and she did her best to redeem herself by bringing an extra dessert. It would have helped to know that the Steak Diane takes longer to prepare than other meals. We had to wait but it was divine.",0
1203,1203,"The Dal Rae is like a blast from the past.  Think the late 50's and a joint that the Rat Pack would hang at.  The menu, drinks, and atmosphere are all classic as is the service.  On my last visit to the Dal Rae the service was not up to par which was unusual.  Make sure to order the Caesar tableside.  Best traditional Caesar that I've ever had.  Well worth a visit!",1
1204,1204,"I ordered prime rib and although it was delicious, it was brought to me as medium.  I had ordered medium-rare and I even noted it to the waitress when she brought it to the table.  Everything else was very good.  I have eaten here several times and it is usually a little better.",0
1205,1205,Romantic dinner celebrating anniversary. Veal was excellent. Teriyaki chicken breast was a real/whole breast.,0
1206,1206,"A little old and dated decor but the food is quite good. The lobster thermidor is excellent though the prices can be a little on the high side. I didn't get my points from opentable either, not that it matters. The place can be romantic if you get a server that cares. It's been hit and miss for me. good luck!!!",1
1207,1207,"I've eaten here many times over the past several years and they never disappoint. Consistent service, food and experience. Old-world dining ambiance.",0
1208,1208,"Everything was good except receptionist being rude and person who packing food for left over, he was such in hurry.
But especially receptionist so rude. They don't care people coming in n out.
That definitely ruin the perfect night.",0
1209,1209,"The onions on the pepper steak were a little burnt, but it was still perfection.",0
1210,1210,"Dal Rae has been a family favorite for decades. the food is still as good as ever. the sea bass was the best we've ever had and the filet mignon was amazing. Valet parking costs you $3.50 plus tip. Service was excellent. A bit noisy, but it was packed for Mother's Day. Calamari appetizer was excellent and a generous portion. Try the ice cream and fresh berries dessert....so good!",0
1211,1211,"MY wife and I were there to celebrate our 15th yr. anniversary and it was all worth it!! As many times that we have passed through the area I had never paid attention to Dal Rae until Saturday evening. Helga was our waitress and she was the best of the best. Our compliments to the chef, the foor was delicious....we are already planning another date at Dal Rae. Thank you!!",0
1212,1212,"A long standing favorite. The perfect place for my wife and I to celebrate 22 years of marraige. Great food, great atmosphere, great service.",0
1213,1213,We've been to the Dal Rae many times and have never been disappointed. Food has always been delicious and cooked to our specifications.,1
1214,1214,"Caesar salad, made in the kitchen not tableside, had way too much dressing. Crab cakes were drowned in sauce. Club sandwich and lamb salad were very good.",0
1215,1215,Can never go wrong at the Dal Rae!,1
1216,1216,"This place is old school. We had Cesear Salad tableside. The right way. Our waitress, Pat, was great. Sort of like ""Flo"" at a diner. She had us laughing all night. Not hard to do on some pretty stiff drinks. I had seabass and it was cooked perfect. My guest had peppercorn steak that was wonderful.",0
1217,1217,"Very good food and good service, a bit overprice but good overall",1
1218,1218,Dinner was above expectations. The filet mignon was tender and delicious. A hint of pepper. Service was good. The butter limon sauce was tasty. The chocolate souffle was sweet and delicious. It was firm and moist inside.,0
1219,1219,"Dal Rae is a great place for a date or simply a nice dinner out with anyone. The meal pricing is expensive on any normal day but I dined at Dal Rae during dine week LA. The 3 course meal offered at only $34 dollars is a steal. I had the Ahi Tuna on toasted bread, it was delicious, followed by whitefish topped with caramelized onions and a sweet sauce that was to die for. For dessert I had the sundae cookie ice cream, it was only so-so. Overall, I enjoyed my meal at Dal Rae and would most likely come back next time for dine week LA. Parking required valet, which is $3.50. Dress is casual nice.",0
1220,1220,"We always go 2-3 times yearly, never a bad meal or bad service.",1
1221,1221,"Good food. Old-time, upscale dining. Excellent service. Our waitress had worked there 32 years!",1
1222,1222,"Classic throwback in the very best sense. Food is great and very reasonable (fantastic swordfish including sides under $20, filet under $30. Wait staff has been there for years, so they are well informed and have a friendly, casual, but professional familiarity.",0
1223,1223,"Always good. Welcomed and courteous greeting, manager drops by your table to ensure all is fine, food is delicious, well presented and affordably priced.",0
1224,1224,Good! was last there approx. 25-30 years ago and it was as goood this time as i remember,1
1225,1225,"Great dining experience, great food, and excellent service combine to make it a special evening.",1
1226,1226,The only thing missing from using the Open Table medium to make reservations is the ability to ask for a specific waitress/waiter of choice.,1
1227,1227,"The Del Rae is an older, established restaurant. Our food was excellent, service equally as good. It was filled with holiday diners and the only flaw I found was an extremely limited menu which contained just a handful of items. The old favorites didn't appear. I understand this because of the holiday season, but one of our party was hard pressed to find a suitable meal. Otherwise, the caesar salad is a classic, the scampi spectacular as well..",0
1228,1228,"Food was not as good as it had been in the past, but maybe that was because it was the holidays and the restraunt was very crowded. I have been there many times and this was not its best. The piano bar was good while we waited. I was disappointed that even with reservations, I still had to wait 45 mintues.",1
1229,1229,I am never disappointed when I eat here. This place is a treasure fro the area thats worth traveling to.,1
1230,1230,The service was excellent!! Food is delicious and the atmosphere is warm and friendly. Would definitely return again for more.,1
1231,1231,"This place is a regular stop for us. Always great food & service. Only complaint this time
was I didn't have change for Valet so I gave a $20 at the car desk & asked for change. My car comes out, opens the door & expects me to drive off. I ask for my change he talks to the other valet & gives me $16 back. I give him a dollar tip. The Valet charge is $3.50
I don't mind giving the valet $6 or $7 but I want it to be my decision.",0
1232,1232,"The food is always great, especially the steak and the chilean sea bass ""a la Ben."" Reservations are highly recommended and on this occasion, the food took a long time to come out because it was busy, so if you are in a hurry, don't eat at this restaurant on a Friday night.",0
1233,1233,"Although we have been to Dal Rae many times, we went there to experience DineLA pre fixe dinner. DineLA website did not mention that they do not offer the deal on fridays. Have we known that they did not offer the menu on fridays, we would have made our reservation on another day. We ended up ordering from the regular menu spending more than we wanted. Waitress told us if we wanted to leave after finding out that they do not have it on fridays. How can we leave? We drove all the way from San Juan Capistrano to Pico Rivera.

We like Dal Rae, we would go back but DineLA should mention that they do not offer the specials on specific days.

Food, service all overall experience at Dal Rae is excellent. Mario Batali needs to eat at Dal Rae.",0
1234,1234,"the service here is SUPERB and VERY professional. the waitress was very genuine and kind and i loved her! (mary jane). the food was always prompt with every course, they scrap your bread crumbs in between. even after all our dessert and we had already paid when my dad mentioned it was my and my brother's birthday she brought us cake.. appetizers were great so was the garlic cheese toast.. get the pepper steak.. of all entrees it was best... definitely an enjoyable experience",1
1235,1235,We always enjoy Dal Rae's and we weren't disappointed. Their anniversary special was very popular and the place was filled on a Tuesday night. Good for them. The owners came by to say hi to everyone and to make sure they were happy. That is a very nice touch. The food was very good and the drinks generous. All 6 of us had a good time.,0
1236,1236,Most excellent food and service. The sea bass was to die for...,1
1237,1237,"The food was great! Our server was awesome. The only thing that bothered me is that we were near the area all the servers hung out and they talked and gossiped the whole time. It was a bit annoying to be at a very nice restaurant and have to hear 4-5 servers stand around and gossip. Other than that, it was wonderful!",0
1238,1238,"My boyfriend and I celebrated his 30th birthday with a fancy dinner at Dal Rae. The food was good, but I expected more in terms of taste. The lobster was average and the steak was alright. The service was excellent overall. On my reservation I asked for the restaurant to present my boyfriend with a banana sufle and a birthday song. Well the hostess understood that it was suppose to be a surprise, but the waitress did not. She recomended that my boyfriend order a ""petite filet mignon"" if he was planning on having the banana sufle. My boyfriend just turned to me puzzled and asked, ""What banana sufle?"" I simply turned to the waitress and informed her that it was suppose to be a surprise. Other than that, we had a good time.",0
1239,1239,Food was incredibly good and the service was excellent as well.,1
1240,1240,very good experience as well as food and wine. will visit again for sure.,1
1241,1241,"A bit pricy but worth every bite. The scene is on the mature side. Can't miss for date night,romantic or that special birthday or anniverary. I not sure who's in the kitchen but after 10 dinner experiences, I would go again.

BobbyG",0
1242,1242,Service by the waitress was not quite up to par with the usual helpful and welcoming attitudes of other servers.,1
1243,1243,"Wasn't excited about my Cesear Salad, but my lunch companion loved his sea bass.",1
1244,1244,Great dinner. Wonderful service. Consistantly great food. Big ash tray at the front door with nasty stale tobacco stench is a real turn-off. The smell carries into the restaurant.,0
1245,1245,"An institution in Pico Rivera, what can be said that hasn't already been stated about the famous Dal Rae... bit of a trip into a time machine, even the waitresses put on the sass that gives it that throwback feel to 1950's Hollywood. You're not here for the heart-healthy vegan offerings; their famous pepper steak is worth the trip alone. Definitely make a point of going there at least once; I'd go back again, but wouldn't make a frequent habit of it; who can afford to, the tab is not recession-friendly.",0
1246,1246,Great Food!! One of LA's best kept secrets!!,1
1247,1247,"A great experience as always. We did for the first time have an appetiser that we were not thrilled with, but everything else was wonderful. Truly one of our favorites and we will be back.",0
1248,1248,"a reminder of the good old times, during the frenetic saloon days that offered up generous portion of excellent american fare... the steaks were delicious and the seafood fresh... i especially enjoyed the pasta dishes and would not hesitate to sample the many other dishes from the extensive menu...",0
1249,1249,Our dining experience was outstanding. Waitress was super and the food was as expected above expectations,1
1250,1250,friendly and prompt service. Food is consistently very good.,0
1251,1251,"This is a restaurant that is consistent in the quality of its food and service. An older restaurant with a homey yet elegant atmosphere, the wait staff is friendly and knowledgeable and very helpful in assisting the customers with their choices. I've returned to this restaurant several times to host out-of-town and out-of-country guests who want a taste of good American/Continental food. In particular, their beef choices are high quality and deliciously prepared every time and some of their signature appetizers, such as the ahi on toast points, and their entrees have always been excellent. The garnish tray is a wonderful ""old time"" touch and the cheesy bread is to die for! I would highly recommend this restaurant.",0
1252,1252,"my reservations were for valentines day. sure, i do understand they were busy. i did get there 10 minutes late. so they told me to wait. i went to the bar to order drinks but nobody paid attention to me. i had to really catch their attention. after getting my bill, it was wrong. went back to see what was taking so long with the table, and the hostess told me the table had been ready for some time. they should have let us know, but they didnt. my partner went to the bar to get a couple of drinks after we had already sat down, and the bartender told him that we better tip him good next time. not such good customer service.food was great.",1
1253,1253,The peppered steak filet mignon is a must try!,0
1254,1254,"Much better experience than the last time we here. We were seated within 10 minutes of our 7:30 reservation (we waited almost 1 hour the last time!). Our server Rose greeted us in a timely matter and made sure our experience would be better than before. We did not wait long for our appetizer and entrees. We did not feel rushed or hurried. Overall, we enjoyed our romantic Valentine's Day dinner.",0
1255,1255,"Being Vaentine's Day, the menu was restricted and the place was very busy. These things tended to diminish the overall experence. My Filet was undercoooked which I attribute to the semi-bedlam of the evening. I feel that the restaurat is really better than it showed on that Saturday night. I was a little upset that they did not have my reservation and happy that I had printed it out from my computer. None the less, we were promptly seated at a nice booth. I recommend Dal Rae.",0
1256,1256,"I really enjoyed my experience at Del Rae. If you would like some ideas on what to try here you go: Cesar Salad, Prime Rib,Pepper Steak, and then as a side choose the Garlic Mash. If you would like to try sea food try the Lobster thermidor or scallops A La Ben. The ambiance was excellent and wasn't too noisy. Take someone you love and enjoy yourself.",0
1257,1257,"Although the food was great as always, I was not pleased that my husband and I were seated in a room which had two large parties celebrating birthdays. We were looking forward to a nice quite dinner which was ruined by the noisy parties near us.",1
1258,1258,This is a retro throwback to the three martini crowd. (Like that's a bad thing?) The room is large and dark with no sign of external light - lose track of hours and martinis. The food is classic-picture duck l'orange prpared tableside or lobster thermidor. The relish tray is a treat- ice cold crudites served up front with the bread. It's a genuine old school treasure.,0
1259,1259,"Both the food and service was excellent at Dal Rae. We had a really good dineLA lunch. Maybe weâll visit again for special occasion. One thing I didnât really like is that they only have valet parking. But other than that, I like Dal Rae a lot.",0
1260,1260,"Excellent night out, very good food.",1
1261,1261,"Service was outstanding. Food portions were generous and the quality of the food was excellent. Pepper filet mignon was tender and full of flavor. Orange sauce on the duck could have been cooked a tad longer to burn off the alcohol after it was flambÃ©ed. The duck was very moist and tender. Very formal, wood-paneled walls, and ""old school"" atmosphere would most likely appeal to an older/business crowd.",0
1262,1262,"The Del Rae is by all accounts, ""Old School"" dining at its best. The normal menu is very extensive, the ambiance has all the charm of an upscale 60's dinner house of yesteryear and the service is the best. It is well worth the trip for all those who live in the city. Make sure you use OpenTable for your reservation, otherwise, you will have a very long wait, but well worth it. We have been long time patrons and highly recommend this place to all.",0
1263,1263,Always a great dinner - the staff is very knowledgeable and helpful especially with dietary restrictions.,1
1264,1264,This restaurant is known for Business professionals and appears to attract mature clientele.,1
1265,1265,A+ experience.  This is a place where the food can always be relied upon.,1
1266,1266,"Overall, food was good.  We had the Tower of Fillet Mignon w/Shitake Mushroom.  That was great! The Lamb Chops...not so HOT! Speaking of HOT...I ordered a decaf coffee to have with my Bread Pudding, coffee was COLD.  Bread pudding was outstanding! Also, on the dress code, I was under the impression the restaurant asked for Business Casual.  I saw several people wearing jeans...that seems casual to me!  Nevertheless, it was nice!",0
1267,1267,"The owner came to our table for a chat following the meal. I not normally a meat eater, but tried one of their specialties which is ""pepper steak,""  and it was truely excellent.",0
1268,1268,"The group of three women in the booth next to us was very loud and obnoxious during our entire meal.  The Crab Louie salad was rather small. The ground steak with bleu cheese was wonderful, as was the Ahi salad.",0
1269,1269,I've been going there for many years and it is an excellent place for food and the service is really good. Amazing mashed potatoes and the lemon cake or strawberries dipped in chocolate with Grand Marnier for dessert are the best.,1
1270,1270,"I love Dal Rae and have been eating there for years, 20 to be exact. It was a holiday week-end and my usual order of ""a la Ben"" was not prepared as usual. The server was very accomedating.",1
1271,1271,Kimberly was an outstanding waitress.,1
1272,1272,"A true 1958 gem still unspoiled by time. A relaxing, enjoyable atmosphere, very good bar, excellent service and a unique and unusual menu featuring traditional restaurant fare such as Lobster Thermidor and Oysters Rockefeller, make visiting the Del Rae like opening a time capsule full of cherished treasures or a pleasant journey back to simpler, more civil times. I've loved the Dal Rae for years. It's a top notch steak and seafood house with the warm, hospitable glow of vintage neon. The Dal Rae is what people want in a restaurant not the pitiful excuse for restaurants and nation wide chains we are expected to accept. Long live the Dal Rae!",0
1273,1273,We'll be back........from Arcadia,1
1274,1274,"We have been going to the Dal Rae for over forty years and our special birthday dinner did not disappoint.  They use the freshest ingredients and the wait staff was attentive without being intrusive.  

I would recommend this as an old school fine dining experience that you don't find much today.",0
1275,1275,"Repeat visitor. Great old Hollywood feel. Classy and elegant without the stuffiness. Friendly staff. Great food! Love the ""tableside"" touches.",0
1276,1276,"Best steak restaurant for the price.  Why go to Mortons and pay a'la carte for everything when you get a Prime cut steak with every option included.  Never had a bad steak there and I have had a bad experience at more notable steakhouses.  Not the best location, but ignore the address and go for the food.",0
1277,1277,If you live or work in the area you have to go to the Dal Rae.  It is one of the original great steak houses that chains like Mortons try to imitate.  The food is good and the service is great. It takes you back in time and delivers a great experience.,0
1278,1278,food is outstanding,1
1279,1279,We liked the food and the service and we were very happy with our evening at the Dal Rey.  We will return soon.,1
1280,1280,"Very good food, attentive and accommodating service...prices above average, but not outrageous.  I would definitely return next time I am in that part of the country.",1
1281,1281,O was somewhat disappointed with the Crab Louis Salad.  I've had better.  Not much of anything on it.  It was also fairly small to what I'm used to.,1
1282,1282,"A swingin' place thats a total flashback to the Rat Pack, in a ggod way.  The made at your table ceasar salad is amazing.",1
1283,1283,This place is a classic for old school style service and dining.  The Lobster Thermador was amazing and came in a generous serving.  And of course the steaks great - no wonder this place has been around so long.,0
1284,1284,"Went for my birthday, curious about restaurant that has been there forever, and was very happy about entire experience, food excellent, great and friendly service and love the authentic Mad Men vibe of the place.",0
1285,1285,Everything we ordered was delicious and service was amazing! Prime rib is definitely the same caliber to Lawryâs. Might have actually found a new place for prime rib!,0
1286,1286,"Great food, great service!  The filet mignon ï¿¼was on point. Caesar salad was great.",0
1287,1287,I've eaten here many times and it never fails to impress. The food and service were incredible.,1
1288,1288,"Having first going to Dal Rae as a 21-year-old it was a joy to return to the states from Australia at 70 and find this gem still flourishing with the most Splendidly efficient helpful waitstaff and managers to begin an exceptionally delicious meal and wines in an enveloping ambience, full tables everywhere and a buzz of conversation that never was intrusive. My husband loved the Deceptively unobtrusive lighting to see what he was eating but it didnât feel highly illuminated. Fantastic!!! Going Again tomorrow",0
1289,1289,Fun dinner. Enjoyed the restaurant. Great menu and very good service,1
1290,1290,"Another exceptionally special evening at the Dal Rae. From the bar to the table, service is excellent. Tableside Caesar is not to be missed. The relish dish is by request these days which is absolutely fine - still a nice way to start the meal. If you order the Caesar, skip the bread service because the cheese bread that is served with the salad is so good! Two at our table had the 10 oz prime rib which looked amazing, one had the veal osso buco - a beautiful presentation with a marrow spoon included! I had the Chilean Sea Bass a la Ben. How I wish I could make that at home - I would eat it daily. The thing I like the best is that the Dal Rae is consistently a wonderful experience - we save it for our special occasions and they always deliver. Note - do not skip the butter cake! It is new to the menu in the last two years. The four of us shared it and collectively agreed that it could possibly be the best dessert ever. Also note - when you have three wine drinkers with different tastes, it is nice to be able to order good quality wines by the glass from in and out of California. I've been coming to the Dal Rae since I was a kid and the fact that it is consistently an amazing meal means a great deal to me.",0
1291,1291,Delicious! This place is a perfect place to celebrate something or someone special. We will definitely be going back. I recommend the sea bass.,1
1292,1292,"Our dinner was amazing, the food is always so good and the service is impeccable.  Our go to place for over 30 years, one of my all time favorite restaurants.",1
1293,1293,Luis was amazing. Attentive and didnât rush you to order etc. The ambiance was so relaxing. The music was great! The food was excellent!,0
1294,1294,"We enjoyed our mealâ steaks, lamb and pork chops, mashed potatoes, dessert soufflÃ©sâ all delicious.  Lots of activity scurrying around the dining room â-wait persons very active and visible.  Drinks were extremely expensiveâ tiny martinis for $20.",0
1295,1295,Order the surf and turf or Top Two. You will not be disappointed. Their level of service is back up! Great dinner.,0
1296,1296,"This is one of my favorite restaurants. However, in order to maximize profits, they have crowded the dining room with more tables. The wait staff couldnât get by, even spilling my drink on one pass. The Thursday pianist is on vacation. Her replacement is a guitarist with music so loud, one cannot have a conversation in the bar.",0
1297,1297,"Dal Rae has always been our family's favorite restaurant to dine, celebrate special occasions and has never disappointed us.",1
1298,1298,Always accommodating and excellent in every aspect. We enjoyed the garden room for private gathering.,0
1299,1299,"Always a great food and atmosphere, wife and I had a great time",1
1300,1300,Excellent service and unparalleled ambience and dining experience.,1
1301,1301,Dinner and drinks at the Del Rae were 10/10. Our server was great and it made for an overall wonderful time,1
1302,1302,The food was great as usual. The service was also the best.,1
1303,1303,The food was delicious as always and the atmosphere wonderful ðð,1
1304,1304,Never a bad meal or experience. Must have the pepper steak and Caesar salad.,1
1305,1305,"Our server (Steve) was great, he extended my order to the chef perfectly.  I had the salmon which I requested rare and it was done that way.",0
1306,1306,Excellent food and excellent service starting from the maitre'd to the busboy,0
1307,1307,"Again, superb service!  Never a disappointment when dining at Dal Rae!",1
1308,1308,"Nice old fashioned restaurant 
recommend for special occasions 
and don't expect anything trendy",1
1309,1309,A nice place to eat yesterday for Motherâs Day.  This place is a family favorite and never fails to keep us coming back.  Keep up the great work!,1
1310,1310,This is one of our Family favorites Steak and Seafood. The Pepper Steak and the Chilean SeaBass is our go to. The cheese bread and Drinks are a 10. Great place to celebrate a special occasion.,1
1311,1311,"I had not been to the Del Rae in years and boy was I pleasantly surprised when I walked in. The restaurant has been remodeled and the food was excellent. We went all out, appetizers, cocktails, dinner bottle of wine and dessert! Our waitress was very attentive, and the manager came over to say hello on a very busy night.  I am going back! It was a great change of pace for our family. We enjoyed the pepper steak, duck, filet and halibut. Great place for date night or family night.",0
1312,1312,We love coming to Dal Rae for every Dine in LA event. The food is very tasty and the service is impeccable.,1
1313,1313,We enjoyed our food! Service was great!! Everyoneâs friendly.,1
1314,1314,"The service we received was excellent beginning from the valet service to the
entire wait staff.  The food was absolutely delicious.",1
1315,1315,"The drinks are always great.  I try to arrive early so I can have a drink before my party arrives.  My favorites are the oysters Rockefeller, Cesar salad, and a filet mignon.  You will have a hefty bill, but it is completely worth it.",1
1316,1316,"The quality of service provided by our server was next level, she made the experience complete. From now on weâll ask to be seated in her section, her name is Lydia.",1
1317,1317,"The prime rib dip is the best, and the Martini's are great!",1
1318,1318,"Our server Dawn is a delight.  This is the 2nd time I have had the pleasure of her 
being our server. She is very pleasant",1
1319,1319,"Like stepping back in time, in a good way!  Beautiful, dark, swanky steakhouse with exceptional service, courtesy of Angel.  Food was delicious!  Very interesting savory (and tasty) baked brie, the crab cake was quite large and actual crab (rather than fillers).  For our entrees, we had salmon, swordfish steak, and lamb chop, all came with just the right amount of sides.  We were celebrating my husband's birthday, it was our first time at Dal Rae, and we were NOT disappointed in the least!  Exceptional experience, thank you!",0
1320,1320,My husband and I have had many meals at Dal Rae. They are unbeatable on all accounts. We were there recenty for our daughter's birthday.,1
1321,1321,"Doing it old school at the venerable Dal Rae! I had always wanted to try it, but never got around until DineLA made an offer I couldn't refuse. I started with a nice strong Negroni, then selected my three courses. I had Caesar salad, filet mignon (I took more than half home) with garlic mashed, then ended up with a lovely slice of cheesecake. I dined solo, and did not at all feel second-class. V enjoyable evening.",0
1322,1322,Best ribeye Iâve ever had. The wilted spinach salad is my favorite. Wish you would bring tableside preparation back. Robert is a great server. Very attentive without hovering.,0
1323,1323,"I love the food, it is always consistent.  The service is always excellent, and most importantly, they always make the perfect cocktails!",1
1324,1324,"Great food, service and atmosphere.  Great place to bring friends.",1
1325,1325,Great dinner!! Great service!! My wife and I had the sea bass a la ben. I had the garlic mashed potatoes; which are epic.,1
1326,1326,Took my mom & dad out for my moms birthday and snagged the DineLA special for $35. Killer deal for amazing food! Service was attentive and kind. The lamb shank was massive and delicious. The sand dabs in butter and caper sauce was yummy! And the house made sourdough is the best!,0
1327,1327,"Still one of my absolute favorite restaurants--worth the one hour drive. We sat in the lounge to enjoy Diane Gire at the piano bar. We all had the DineLA dinner--fabulous value and fabulous food as well as very generous portions, as always!",0
1328,1328,Exceptional service and food.  We enjoyed the DineLA Menu selections very much.  Thank you Dal Rae you NEVER disappoint.,0
1329,1329,"Had a wonderful evening with friends.  Our servers were attentive, knowledgeable & a joy to laugh with.   The food was spectacular.  Canât wait to do it again.",1
1330,1330,Fantastic food and drink. Love the abalone and steaks. Service is outstanding.,1
1331,1331,"When we are in the area, it's always a treat to enjoy the renowned chilean seabass ala Ben!",1
1332,1332,"The Dal Rae is a wonderful experience - great food, ambiance and service.  The attention to detail and the range of items on the menu is amazing!",1
1333,1333,"Wonderful attentive service, great cocktails,  delicious food. Table side Caesar salad for two is done perfectly and the large portion can easily be split between 4 people. You can see and taste the high quality ingredients in each dish, be it the fresh oysters, a lobster and especially the steaks. Fantastic place to celebrate a special  occasion .",0
1334,1334,Youâll love it! Great vintage place. Easy informality. Excellent food.,1
1335,1335,Delicious food. Great service. Wonderful afternoon with family.,1
